"fecha","cod_ine","CCAA","total","TMSTAMP"
"2020-03-28",10,"C. Valenciana",234,"2020-03-29 06:29:47 UTC"
"2020-03-03",11,"Extremadura",0,"2020-03-29 06:29:47 UTC"
"2020-03-04",11,"Extremadura",0,"2020-03-29 06:29:47 UTC"
"2020-03-05",11,"Extremadura",0,"2020-03-29 06:29:47 UTC"
"2020-03-06",11,"Extremadura",0,"2020-03-29 06:29:47 UTC"
"2020-03-07",11,"Extremadura",0,"2020-03-29 06:29:47 UTC"
"2020-03-08",11,"Extremadura",0,"2020-03-29 06:29:47 UTC"
"2020-03-09",11,"Extremadura",0,"2020-03-29 06:29:47 UTC"
"2020-03-10",11,"Extremadura",0,"2020-03-29 06:29:47 UTC"
"2020-03-11",11,"Extremadura",0,"2020-03-29 06:29:47 UTC"
"2020-03-12",11,"Extremadura",1,"2020-03-29 06:29:47 UTC"
"2020-03-13",11,"Extremadura",1,"2020-03-29 06:29:47 UTC"
"2020-03-14",11,"Extremadura",2,"2020-03-29 06:29:47 UTC"
"2020-03-15",11,"Extremadura",2,"2020-03-29 06:29:47 UTC"
"2020-03-16",11,"Extremadura",2,"2020-03-29 06:29:47 UTC"
"2020-03-17",11,"Extremadura",3,"2020-03-29 06:29:47 UTC"
"2020-03-18",11,"Extremadura",6,"2020-03-29 06:29:47 UTC"
"2020-03-19",11,"Extremadura",8,"2020-03-29 06:29:47 UTC"
"2020-03-20",11,"Extremadura",10,"2020-03-29 06:29:47 UTC"
"2020-03-21",11,"Extremadura",12,"2020-03-29 06:29:47 UTC"
"2020-03-22",11,"Extremadura",14,"2020-03-29 06:29:47 UTC"
"2020-03-23",11,"Extremadura",18,"2020-03-29 06:29:47 UTC"
"2020-03-24",11,"Extremadura",26,"2020-03-29 06:29:47 UTC"
"2020-03-25",11,"Extremadura",39,"2020-03-29 06:29:47 UTC"
"2020-03-26",11,"Extremadura",58,"2020-03-29 06:29:47 UTC"
"2020-03-27",11,"Extremadura",69,"2020-03-29 06:29:47 UTC"
"2020-03-28",11,"Extremadura",88,"2020-03-29 06:29:47 UTC"
"2020-03-03",12,"Galicia",0,"2020-03-29 06:29:47 UTC"
"2020-03-04",12,"Galicia",0,"2020-03-29 06:29:47 UTC"
"2020-03-05",12,"Galicia",0,"2020-03-29 06:29:47 UTC"
"2020-03-06",12,"Galicia",0,"2020-03-29 06:29:47 UTC"
"2020-03-07",12,"Galicia",0,"2020-03-29 06:29:47 UTC"
"2020-03-08",12,"Galicia",0,"2020-03-29 06:29:47 UTC"
"2020-03-09",12,"Galicia",0,"2020-03-29 06:29:47 UTC"
"2020-03-10",12,"Galicia",0,"2020-03-29 06:29:47 UTC"
"2020-03-11",12,"Galicia",0,"2020-03-29 06:29:47 UTC"
"2020-03-12",12,"Galicia",0,"2020-03-29 06:29:47 UTC"
"2020-03-13",12,"Galicia",0,"2020-03-29 06:29:47 UTC"
"2020-03-14",12,"Galicia",0,"2020-03-29 06:29:47 UTC"
"2020-03-15",12,"Galicia",2,"2020-03-29 06:29:47 UTC"
"2020-03-16",12,"Galicia",2,"2020-03-29 06:29:47 UTC"
"2020-03-17",12,"Galicia",3,"2020-03-29 06:29:47 UTC"
"2020-03-18",12,"Galicia",3,"2020-03-29 06:29:47 UTC"
"2020-03-19",12,"Galicia",4,"2020-03-29 06:29:47 UTC"
"2020-03-20",12,"Galicia",5,"2020-03-29 06:29:47 UTC"
"2020-03-21",12,"Galicia",9,"2020-03-29 06:29:47 UTC"
"2020-03-22",12,"Galicia",12,"2020-03-29 06:29:47 UTC"
"2020-03-23",12,"Galicia",18,"2020-03-29 06:29:47 UTC"
"2020-03-24",12,"Galicia",20,"2020-03-29 06:29:47 UTC"
"2020-03-25",12,"Galicia",27,"2020-03-29 06:29:47 UTC"
"2020-03-26",12,"Galicia",32,"2020-03-29 06:29:47 UTC"
"2020-03-27",12,"Galicia",43,"2020-03-29 06:29:47 UTC"
"2020-03-28",12,"Galicia",47,"2020-03-29 06:29:47 UTC"
"2020-03-03",13,"Madrid",0,"2020-03-29 06:29:47 UTC"
"2020-03-04",13,"Madrid",0,"2020-03-29 06:29:47 UTC"
"2020-03-05",13,"Madrid",1,"2020-03-29 06:29:47 UTC"
"2020-03-06",13,"Madrid",2,"2020-03-29 06:29:47 UTC"
"2020-03-07",13,"Madrid",4,"2020-03-29 06:29:47 UTC"
"2020-03-08",13,"Madrid",8,"2020-03-29 06:29:47 UTC"
"2020-03-09",13,"Madrid",8,"2020-03-29 06:29:47 UTC"
"2020-03-10",13,"Madrid",21,"2020-03-29 06:29:47 UTC"
"2020-03-11",13,"Madrid",31,"2020-03-29 06:29:47 UTC"
"2020-03-12",13,"Madrid",56,"2020-03-29 06:29:47 UTC"
"2020-03-13",13,"Madrid",81,"2020-03-29 06:29:47 UTC"
"2020-03-14",13,"Madrid",86,"2020-03-29 06:29:47 UTC"
"2020-03-15",13,"Madrid",213,"2020-03-29 06:29:47 UTC"
"2020-03-16",13,"Madrid",213,"2020-03-29 06:29:47 UTC"
"2020-03-17",13,"Madrid",355,"2020-03-29 06:29:47 UTC"
"2020-03-18",13,"Madrid",390,"2020-03-29 06:29:47 UTC"
"2020-03-19",13,"Madrid",498,"2020-03-29 06:29:47 UTC"
"2020-03-20",13,"Madrid",628,"2020-03-29 06:29:47 UTC"
"2020-03-21",13,"Madrid",804,"2020-03-29 06:29:47 UTC"
"2020-03-22",13,"Madrid",1021,"2020-03-29 06:29:47 UTC"
"2020-03-23",13,"Madrid",1263,"2020-03-29 06:29:47 UTC"
"2020-03-24",13,"Madrid",1535,"2020-03-29 06:29:47 UTC"
"2020-03-25",13,"Madrid",1825,"2020-03-29 06:29:47 UTC"
"2020-03-26",13,"Madrid",2090,"2020-03-29 06:29:47 UTC"
"2020-03-27",13,"Madrid",2412,"2020-03-29 06:29:47 UTC"
